order.id,order.line,customer.id,product.id,order.date,quantity
1,1,2,48,2011-07-01 00:00:00,1
1,2,2,52,2011-07-01 00:00:00,1
2,1,10,76,2011-10-01 00:00:00,1
2,2,10,52,2011-10-01 00:00:00,1
3,1,6,2,2011-10-01 00:00:00,1
3,2,6,50,2011-10-01 00:00:00,1
3,3,6,1,2011-10-01 00:00:00,1
3,4,6,4,2011-10-01 00:00:00,1
3,5,6,34,2011-10-01 00:00:00,1
4,1,22,26,2011-11-01 00:00:00,1
5,1,8,96,2011-11-01 00:00:00,1
5,2,8,66,2011-11-01 00:00:00,2
5,3,8,35,2011-11-01 00:00:00,1
5,4,8,72,2011-11-01 00:00:00,1
6,1,16,45,2011-11-01 00:00:00,1
6,2,16,39,2011-11-01 00:00:00,1
6,3,16,87,2011-11-01 00:00:00,1
6,4,16,31,2011-11-01 00:00:00,1
7,1,9,2,2011-12-01 00:00:00,1
7,2,9,15,2011-12-01 00:00:00,1
7,3,9,10,2011-12-01 00:00:00,1
7,4,9,65,2011-12-01 00:00:00,1
7,5,9,87,2011-12-01 00:00:00,1
7,6,9,55,2011-12-01 00:00:00,1
7,7,9,7,2011-12-01 00:00:00,1
7,8,9,67,2011-12-01 00:00:00,1
7,9,9,61,2011-12-01 00:00:00,1
7,10,9,18,2011-12-01 00:00:00,2
7,11,9,96,2011-12-01 00:00:00,1
7,12,9,42,2011-12-01 00:00:00,1
7,13,9,56,2011-12-01 00:00:00,1
7,14,9,93,2011-12-01 00:00:00,2
8,1,16,35,2011-12-01 00:00:00,1
8,2,16,96,2011-12-01 00:00:00,3
9,1,25,29,2011-01-17 00:00:00,1
9,2,25,13,2011-01-17 00:00:00,2
9,3,25,18,2011-01-17 00:00:00,1
9,4,25,16,2011-01-17 00:00:00,1
9,5,25,36,2011-01-17 00:00:00,5
10,1,20,19,2011-01-17 00:00:00,1
11,1,19,11,2011-01-18 00:00:00,1
11,2,19,13,2011-01-18 00:00:00,2
11,3,19,10,2011-01-18 00:00:00,1
11,4,19,39,2011-01-18 00:00:00,1
11,5,19,23,2011-01-18 00:00:00,1
11,6,19,65,2011-01-18 00:00:00,1
11,7,19,43,2011-01-18 00:00:00,1
12,1,6,27,2011-01-20 00:00:00,2
12,2,6,49,2011-01-20 00:00:00,1
12,3,6,67,2011-01-20 00:00:00,1
12,4,6,11,2011-01-20 00:00:00,1
12,5,6,26,2011-01-20 00:00:00,1
12,6,6,39,2011-01-20 00:00:00,1
12,7,6,28,2011-01-20 00:00:00,1
12,8,6,32,2011-01-20 00:00:00,1
12,9,6,22,2011-01-20 00:00:00,1
12,10,6,13,2011-01-20 00:00:00,1
12,11,6,29,2011-01-20 00:00:00,1
12,12,6,63,2011-01-20 00:00:00,1
12,13,6,31,2011-01-20 00:00:00,1
